"shows_names","shows_url"
"Sofia the First","http://www.tv.com/shows/sofia-the-first/"
"Moral Orel","http://www.tv.com/shows/moral-orel/"
"The Glades","http://www.tv.com/shows/the-glades/"
"Cougar Town","http://www.tv.com/shows/cougar-town/"
"Rome","http://www.tv.com/shows/rome/"
"The Nanny","http://www.tv.com/shows/the-nanny/"
"The Real Housewives of Orange County","http://www.tv.com/shows/the-real-housewives-of-orange-county/"
"Unsolved Mysteries","http://www.tv.com/shows/unsolved-mysteries/"
"Dr. Phil","http://www.tv.com/shows/dr-phil/"
"Bob's Burgers","http://www.tv.com/shows/bobs-burgers/"
"The Ed Sullivan Show","http://www.tv.com/shows/the-ed-sullivan-show/"
"The Mindy Project","http://www.tv.com/shows/the-mindy-project/"
"Rugrats","http://www.tv.com/shows/rugrats/"
"Extra","http://www.tv.com/shows/extra/"
"Magnum, P.I.","http://www.tv.com/shows/magnum-pi/"
"Say Yes to the Dress","http://www.tv.com/shows/say-yes-to-the-dress/"
"Hart to Hart","http://www.tv.com/shows/hart-to-hart/"
"Deadliest Catch","http://www.tv.com/shows/deadliest-catch/"
"Wheel of Fortune","http://www.tv.com/shows/wheel-of-fortune/"
"Columbo","http://www.tv.com/shows/columbo/"
"The Proud Family","http://www.tv.com/shows/the-proud-family/"
"Tiny Toon Adventures","http://www.tv.com/shows/tiny-toon-adventures/"
"Twin Peaks","http://www.tv.com/shows/twin-peaks/"
"Transformers","http://www.tv.com/shows/transformers/"
"Catfish","http://www.tv.com/shows/catfish/"
"Anthony Bourdain: Parts Unknown","http://www.tv.com/shows/anthony-bourdain-parts-unknown/"
"Catfish","http://www.tv.com/shows/catfish/"
"Anthony Bourdain: Parts Unknown","http://www.tv.com/shows/anthony-bourdain-parts-unknown/"
"Black Sheep Squadron","http://www.tv.com/shows/black-sheep-squadron/"
"Transformers Animated","http://www.tv.com/shows/transformers-animated/"
"Hetalia: The Beautiful World","http://www.tv.com/shows/hetalia-the-beautiful-world/"
"The Client List","http://www.tv.com/shows/the-client-list/"
"Brothers & Sisters","http://www.tv.com/shows/brothers-sisters/"
"Angel","http://www.tv.com/shows/angel/"
