"Period","Category","Name","User_Rating","User_Votes","Year_Started","Show_url","sq","Rating"
"2001-2010","Music","The Glee Project",7.5,83,2010,"http://www.tv.com/shows/the-glee-project/",0.0283689300743471,"Not so much !!"
"2001-2010","Game Show","Music Behind Bars",4.7,5,2001,"http://www.tv.com/shows/music-behind-bars/",0.00107095559316812,"Not so much !!"
"2001-2010","Kids","Big Time Rush",6.6,460,2009,"http://www.tv.com/shows/big-time-rush/",0.138358348121635,"Not so much !!"
"2001-2010","Animation","Full Metal Panic? Fumoffu",8.5,423,2003,"http://www.tv.com/shows/full-metal-panic-fumoffu/",0.163856205754723,"Not so much !!"
"2001-2010","Fantasy","Full Metal Panic? Fumoffu",8.5,423,2003,"http://www.tv.com/shows/full-metal-panic-fumoffu/",0.163856205754723,"Not so much !!"
"2001-2010","Reality","Ego Trip's (White) Rapper Show",7.8,61,2006,"http://www.tv.com/shows/ego-trips-white-rapper-show/",0.0216834328182721,"Not so much !!"
"2001-2010","Comedy","Spy",8.6,38,2010,"http://www.tv.com/shows/spy/",0.0148931186318018,"Not so much !!"
"2001-2010","Drama","Law & Order: UK",8.3,226,2009,"http://www.tv.com/shows/law-and-order-uk/",0.0854850426240326,"Not so much !!"
"2001-2010","Suspense","Law & Order: UK",8.3,226,2009,"http://www.tv.com/shows/law-and-order-uk/",0.0854850426240326,"Not so much !!"
"2001-2010","Sports","SportsNation",9.1,14,2009,"http://www.tv.com/shows/sportsnation/",0.00580594649232421,"Not so much !!"
"2001-2010","Food & Cooking","The Rachael Ray Show",7.4,216,2006,"http://www.tv.com/shows/the-rachael-ray-show/",0.0728432093668055,"Not so much !!"
"2001-2010","Action & Adventure","Survivorman",8.7,484,2004,"http://www.tv.com/shows/survivorman/",0.191897013264355,"Not so much !!"
"2001-2010","Game Show","Ninja Warrior",8.4,337,2006,"http://www.tv.com/shows/ninja-warrior/",0.129006855027248,"Not so much !!"
"2001-2010","Animation","Ed, Edd n Eddy",8.9,2323,2003,"http://www.tv.com/shows/ed-edd-n-eddy/",0.942199387322255,"Popular"
"2001-2010","Suspense","Dark Blue",7.6,808,2008,"http://www.tv.com/shows/dark-blue/",0.279852089639439,"Not so much !!"
"2001-2010","Documentary","Monsterquest",8.6,92,2007,"http://www.tv.com/shows/monsterquest/",0.0360570240559413,"Not so much !!"
"2001-2010","Science Fiction","Monsterquest",8.6,92,2007,"http://www.tv.com/shows/monsterquest/",0.0360570240559413,"Not so much !!"
"2001-2010","Educational","Pawn Stars",8.2,325,2009,"http://www.tv.com/shows/pawn-stars/",0.121450921523108,"Not so much !!"
"2001-2010","Science Fiction","Day Break",8.8,1962,2005,"http://www.tv.com/shows/day-break/",0.786837910187385,"Popular"
"2001-2010","Comedy","Pulling",8,39,2006,"http://www.tv.com/shows/pulling/",0.0142186444709981,"Not so much !!"
